Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,223.389999,227.479996,220.141998,225.210007,225.210007,1651200
2020-10-06,223.289993,225.798004,217.000000,217.720001,217.720001,1753300
2020-10-07,222.149994,230.869995,221.190002,222.850006,222.850006,2308700
2020-10-08,225.279999,225.800003,219.639999,221.479996,221.479996,1257700
2020-10-09,223.880005,224.779999,217.869995,218.110001,218.110001,1595400
2020-10-12,221.899994,224.740005,217.729996,218.000000,218.000000,1837000
2020-10-13,220.979996,236.800003,219.419998,231.800003,231.800003,4452800
2020-10-14,233.529999,234.100006,226.710007,230.449997,230.449997,2184400
2020-10-15,225.339996,228.699997,220.009995,224.350006,224.350006,2062500
2020-10-16,227.500000,228.195007,220.630997,221.289993,221.289993,1277400
2020-10-19,222.710007,228.020004,221.580002,223.690002,223.690002,1669000
2020-10-20,223.800003,226.266006,221.289993,222.229996,222.229996,1271500
2020-10-21,224.740005,230.820007,212.649994,216.770004,216.770004,2223000
2020-10-22,218.399994,221.770004,214.139999,214.800003,214.800003,1545800
2020-10-23,215.000000,217.000000,212.100006,216.320007,216.320007,1347600
2020-10-26,215.000000,223.699997,209.000000,212.149994,212.149994,2214800
2020-10-27,214.690002,224.800003,214.513000,223.059998,223.059998,2835700
2020-10-28,220.130005,231.000000,220.100006,226.940002,226.940002,4575900
2020-10-29,217.589996,228.059998,213.750000,217.889999,217.889999,11257900
2020-10-30,215.990005,215.990005,192.139999,196.460007,196.460007,6095700
2020-11-02,194.000000,194.929993,186.500000,190.399994,190.399994,5631100
2020-11-03,192.000000,196.921005,190.289993,195.240005,195.240005,3380200
2020-11-04,200.000000,206.139999,197.110001,198.740005,198.740005,3985200
2020-11-05,205.600006,209.354996,203.479996,208.509995,208.509995,3273000
2020-11-06,208.500000,209.270004,205.550003,206.139999,206.139999,2418600
2020-11-09,191.375000,193.703995,175.403000,177.979996,177.979996,10987200
2020-11-10,180.410004,180.994995,168.500000,172.440002,172.440002,7792100
2020-11-11,177.550003,183.119995,173.649994,182.550003,182.550003,4549400
2020-11-12,186.949997,189.639999,183.720001,186.990005,186.990005,3762700
2020-11-13,190.000000,190.699997,178.380005,183.070007,183.070007,4582900
2020-11-16,178.100006,181.139999,175.100006,177.000000,177.000000,6252600
2020-11-17,178.970001,181.850006,177.220001,179.339996,179.339996,3696700
2020-11-18,180.029999,184.880005,177.300003,181.869995,181.869995,4238900
2020-11-19,182.000000,192.770004,182.000000,191.190002,191.190002,4392800
