Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2021-02-26,118.209999,121.779999,114.610001,120.470001,120.470001,8635500,PTON
2021-03-01,122.477997,124.400002,118.769997,123.809998,123.809998,5943500,PTON
2021-03-02,125,126.739998,117.629997,117.970001,117.970001,5277800,PTON
2021-03-03,117.904999,118,107.800003,108.080002,108.080002,10930900,PTON
2021-03-04,107.739998,110.970001,97.194,104.75,104.75,13875400,PTON
2021-03-05,105.150002,107.739998,94,105.129997,105.129997,14661500,PTON
2021-03-08,108.690002,115.389999,100.419998,101.349998,101.349998,13486300,PTON
2021-03-09,108.18,116.459999,106.290001,116.019997,116.019997,11068400,PTON
2021-03-10,117.989998,119.120003,110.879997,111.32,111.32,8770600,PTON
2021-03-11,115.400002,118.199997,114.010002,117.650002,117.650002,8180600,PTON
2021-03-12,113.489998,115.199997,109.25,111.550003,111.550003,8118600,PTON
2021-03-15,111.669998,112.75,107.349998,112.739998,112.739998,5327800,PTON
2021-03-16,113.610001,113.980003,106.199997,107.959999,107.959999,5673600,PTON
2021-03-17,105.525002,109.389999,102.260002,107.790001,107.790001,9713000,PTON
2021-03-18,105.004997,107.480003,101.669998,102.739998,102.739998,7895900,PTON
2021-03-19,103.150002,108.93,102.029999,108.309998,108.309998,11222200,PTON
2021-03-22,108.970001,110.730003,106.650002,109.540001,109.540001,6913600,PTON
2021-03-23,111,116.290001,109.510002,113.349998,113.349998,9079500,PTON
2021-03-24,112.480003,112.889999,101.120003,101.790001,101.790001,10340000,PTON
2021-03-25,99.669998,104.470001,98.730003,103.230003,103.230003,8356500,PTON
2021-03-26,104.110001,106.559998,102.400002,106.419998,106.419998,6479700,PTON
2021-03-29,106,108.449997,103.900002,105.019997,105.019997,5163000,PTON
2021-03-30,103.809998,107.480003,101.810997,107.169998,107.169998,4201200,PTON
2021-03-31,109,114.5,108.25,112.440002,112.440002,6933700,PTON
2021-04-01,114.989998,118.959999,111.669998,112.089996,112.089996,6986400,PTON
2021-04-05,112.879997,112.980003,107.730003,109.089996,109.089996,6348000,PTON
2021-04-06,109.239998,117.450996,108.279999,115.379997,115.379997,7403200,PTON
2021-04-07,114.300003,116.199997,111.620003,115.199997,115.199997,6066900,PTON
2021-04-08,117.5,124.5,116.629997,123.620003,123.620003,14751500,PTON
2021-04-09,122.491997,122.699997,118.410004,118.599998,118.599998,6751100,PTON
2021-04-12,118.059998,119.425003,115.264999,118.970001,118.970001,5596300,PTON
2021-04-13,121.489998,124.800003,120.589996,122.360001,122.360001,6644700,PTON
2021-04-14,122.664001,122.910004,117.389999,117.800003,117.800003,5802600,PTON
2021-04-15,120,121.794998,118.199997,119.900002,119.900002,4704700,PTON
2021-04-16,119.349998,119.480003,115.760002,116.209999,116.209999,4759900,PTON
2021-04-19,108.620003,112.910004,104.580002,107.75,107.75,22451300,PTON
2021-04-20,108.110001,109.139999,103.919998,106.5,106.5,8472800,PTON
2021-04-21,103.290001,104.25,99.120003,99.93,99.93,16621100,PTON
2021-04-22,101.156998,105.080002,100.033997,101.489998,101.489998,14597500,PTON
2021-04-23,102.379997,103.589996,99.739998,101.07,101.07,10151900,PTON
